year,beforeHousingCosts,afterHousingCosts
1994/95,10370000,13470000
1995/96,9950000,13450000
1996/97,10770000,13970000
1997/98,10860000,13550000
1998/99,10800000,13580000
1999/00,10680000,13420000
2000/01,10330000,12940000
2001/02,10350000,12780000
2002/03,10360000,12910000
2003/04,10290000,12500000
2004/05,9930000,12040000
2005/06,10330000,12710000
2006/07,10680000,13350000
2007/08,10930000,13520000
2008/09,10890000,13480000
2009/10,10370000,13550000
2010/11,9840000,13000000
2011/12,9830000,13070000
2012/13,9690000,13200000
2013/14,9580000,13200000
2014/15,10060000,13410000
2015/16,10470000,13920000
2016/17,10460000,14210000
2017/18,11110000,14000000
2018/19,10980000,14390000
2019/20,11730000,14460000
2020/21,10460000,13430000