GGSCode,vh2004,vh2005,vh2006,vh2007,vh2008, vh2009,vh2010,vh2011,vh2012,vh2013,vh2014,vh2015,vh2016,vh2017,vh2018,vh2019,vh2020,vh2021
E09000001,165,123,93,122,98,72,131,88,89,107,120,86,124,252,321,311,315,275
E09000002,1623,1906,2477,2064,1650,1643,1570,1578,1631,1484,1382,1154,752,822,998,921,1261,1545
E09000003,3607,3767,3486,3320,4036,3652,3679,3201,3016,2549,2362,2638,2199,2302,2367,2944,3551,4322
E09000004,2161,2157,2309,2247,2123,2059,1755,1971,2282,1271,1087,1180,1249,1469,1623,1668,1445,1523
E09000005,3568,2764,2482,2736,2271,2268,2350,2370,2328,1130,1181,1073,968,1103,1126,1662,2297,2734
E09000006,3825,3742,3781,3537,3617,3613,3517,3320,3190,2653,2646,2751,2645,2636,2986,2994,3070,3489
E09000007,3049,2896,2594,2726,2895,2592,2883,2868,2867,2804,2859,2617,2848,3018,3769,3878,4645,4771
E09000008,4647,4376,4643,4053,3599,4066,3608,3638,3606,2846,2564,3130,2810,3511,3670,3710,4089,3885
E09000009,3416,2971,3024,3406,3077,3038,2698,2437,2374,2535,2529,3209,3587,4187,4198,2595,2541,2987
E09000010,4494,4301,4553,3219,2534,2508,2562,2522,2532,2224,1919,1907,2298,2349,2970,3158,3103,3072
E09000011,3084,3295,3530,3294,3404,3497,3234,3416,2412,2049,1839,1796,1523,1750,1698,1867,1759,2531
E09000012,3407,3626,3556,3646,3646,3840,3064,3180,2255,2227,2013,2268,2146,1962,1980,2043,2562,2053
E09000013,2946,2590,2211,2301,2231,2025,1922,1946,2129,988,1078,831,837,822,696,659,751,1010
E09000014,1966,1678,1613,1782,1981,2336,1907,1752,2072,1435,1357,2397,2537,2481,2619,2268,2488,2549
E09000015,1484,1378,1143,1124,1466,1388,1215,1214,1277,1009,838,825,1440,1694,1123,1956,2757,2789
E09000016,2568,2636,2617,2856,2795,2794,2507,2387,2315,1890,1447,1352,1259,1427,1628,1669,2033,1954
E09000017,2532,2302,2148,2069,1944,1918,1838,1670,1592,1715,1381,1399,1799,2053,2237,2061,2156,1575
E09000018,2125,1870,1593,1578,1506,1486,1601,1164,992,1788,2250,1095,843,730,757,1984,2851,3621
E09000019,2677,1971,1973,2334,1698,2140,1860,1851,1608,1580,1982,2981,1414,1561,1909,1995,2379,2449
E09000020,3064,2905,2678,3236,3396,2854,2657,2624,3031,2509,2269,2145,2062,2119,1916,2067,2756,3019
E09000021,2394,1913,2181,2199,2183,2104,2122,1404,1179,999,1314,1206,1523,1548,1690,1676,1814,1849
E09000022,3291,3017,4125,3480,3780,3898,4290,3591,3395,2190,2025,1980,1446,1724,1910,1849,2303,3620
E09000023,1586,1591,1454,1924,2035,2215,2540,2355,2253,1894,1835,2131,2182,2464,2458,2338,2964,3239
E09000024,1362,2086,2084,1423,1731,1750,1684,1649,1755,1190,1321,1249,1189,1436,1430,1498,1881,2287
E09000025,2645,3138,4047,4037,4091,3718,2904,2470,2141,1971,2392,2025,1338,1709,1893,3273,4103,4283
E09000026,1992,2277,2755,2830,2353,2489,2186,1926,2011,1513,1162,1293,1241,1359,1735,1875,1913,2176
E09000027,2166,1966,1900,1958,1814,1322,1380,1363,1640,1449,1211,1136,1349,1338,1368,1388,1513,1532
E09000028,4439,2723,2830,2520,2720,3001,3367,2679,2645,2668,2822,4677,5041,5944,6761,6303,4218,4976
E09000029,2351,2643,2528,2141,2374,2248,2009,2070,1848,1874,1742,1799,1772,1779,1955,2165,2368,2436
E09000030,2047,2081,2492,2223,2948,4203,2940,2391,2317,1588,1721,1844,2278,1669,1832,3308,3566,3325
E09000031,2078,1924,2092,2383,2261,2246,2131,1870,1908,1338,1122,1143,1280,1467,1782,1791,2112,2429
E09000032,2161,3044,1961,1897,1705,2111,1643,1586,1869,1472,1390,1309,1139,898,776,804,1076,977
E09000033,3974,3914,3748,3962,4164,3968,4217,3759,3542,2374,1555,1255,978,783,874,988,1655,2449