year,aprovals
Jan '10,46443
Feb '10,47738
Mar '10,49126
Apr '10,50229
May '10,50012
Jun '10,49432
Jul '10,48793
Aug '10,47397
Sep '10,46821
Oct '10,46866
Nov '10,46190
Dec '10,41706
Jan '11,42901
Feb '11,47393
Mar '11,48390
Apr '11,46043
May '11,47014
Jun '11,49394
Jul '11,50861
Aug '11,52908
Sep '11,50958
Oct '11,51763
Nov '11,52048
Dec '11,51756
Jan '12,55590
Feb '12,50187
Mar '12,51394
Apr '12,51884
May '12,49243
Jun '12,47846
Jul '12,47285
Aug '12,48126
Sep '12,50318
Oct '12,52262
Nov '12,53199
Dec '12,54595
Jan '13,52291
Feb '13,52448
Mar '13,54405
Apr '13,56160
May '13,58868
Jun '13,58906
Jul '13,60729
Aug '13,62974
Sep '13,67302
Oct '13,68591
Nov '13,70474
Dec '13,71891
Jan '14,74047
Feb '14,69990
Mar '14,68373
Apr '14,64990
May '14,61966
Jun '14,67868
Jul '14,67048
Aug '14,65387
Sep '14,62146
Oct '14,60350
Nov '14,59552
Dec '14,60044
Jan '15,59112
Feb '15,61443
Mar '15,62894
Apr '15,69051
May '15,64943
Jun '15,68221
Jul '15,71063
Aug '15,72385
Sep '15,71022
Oct '15,69985
Nov '15,70424
Dec '15,71236
Jan '16,72351
Feb '16,71950
Mar '16,70834
Apr '16,68762
May '16,67581
Jun '16,65785
Jul '16,62956
Aug '16,61459
Sep '16,64345
Oct '16,67439
Nov '16,68004
Dec '16,68250
Jan '17,68007
Feb '17,68269
Mar '17,68342
Apr '17,66990
May '17,65718
Jun '17,65705
Jul '17,69245
Aug '17,67228
Sep '17,66237
Oct '17,64404
Nov '17,65190
Dec '17,61739
Jan '18,65747
Feb '18,63359
Mar '18,63577
Apr '18,63284
May '18,65015
Jun '18,66061
Jul '18,65722
Aug '18,67210
Sep '18,65955
Oct '18,66981
Nov '18,64026
Dec '18,63658
Jan '19,65263
Feb '19,64945
Mar '19,62725
Apr '19,65605
May '19,65364
Jun '19,66775
Jul '19,68391
Aug '19,66946
Sep '19,66347
Oct '19,64949
Nov '19,64838
Dec '19,66429
Jan '20,69685
Feb '20,73043
Mar '20,56945
Apr '20,15831
May '20,9301
Jun '20,40475
Jul '20,68158
Aug '20,86717
Sep '20,92682
Oct '20,98678
Nov '20,104547
Dec '20,101620
Jan '21,97468
Feb '21,87440
Mar '21,82635
Apr '21,85326
May '21,85961
Jun '21,79896
Jul '21,75476
Aug '21,73455
Sep '21,71851
Oct '21,67199