area,waitingList
City of London,782
Barking and Dagenham,5350
Barnet,1678
Bexley,6589
Brent,3051
Bromley,1634
Camden,6364
Croydon,5819
Ealing,9545
Enfield,3712
Greenwich,16982
Hackney,13440
Hammersmith and Fulham,1929
Haringey,10884
Harrow,1915
Havering,1995
Hillingdon,2229
Hounslow,1930
Islington,14164
Kensington and Chelsea,3243
Kingston upon Thames,2867
Lambeth,27674
Lewisham,9768
Merton,9678
Newham,28020
Redbridge,5979
Richmond upon Thames,4467
Southwark,8088
Sutton,1999
Tower Hamlets,20073
Waltham Forest,8409
Wandsworth,7199
Westminster,3466